title,release_year,release_month,release_day,genres,rating_out_of_10,vote_count,runtime_minutes,box_office_usd,budget_usd,director,screenwriter,cast,production_company,content_rating,language,country,synopsis,wikipedia_url,poster_url
Sew Torn,2025,March,2,"Musical, Drama",6.7,108021,94,27262407,21174938,,Fred Macdonald,"Freddy Macdonald, Eve Connolly,Calum Worthy,John Lynch,K. Callan,Ron Cook, Thomas Douglas,Caroline Goodall",Vertigo Releasing,PG-13,English,United States,"'Sew Torn' (2025) is a feature film directed by acclaimed filmmakers, starring Freddy Macdonald, Eve Connolly,Calum Worthy,John Lynch,K. Callan,Ron Cook, Thomas Douglas,Caroline Goodall, produced by Vertigo Releasing.",https://en.wikipedia.org/wiki/Sew_Torn,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Screamboat,2025,April,2,"Horror, Mystery, Thriller",7.4,161950,140,41942750,11763700,,Matthew Garcia-Dunn,"Steven LaMorte, David Howard Thornton, Allison Pittel, Amy Schmacher, Jesse Posey, Kailey Hyman, Jesse Kove,Jarlath Conroy",Iconic Events Releasing,R,English,United States,"'Screamboat' (2025) is a feature film directed by acclaimed filmmakers, starring Steven LaMorte, David Howard Thornton, Allison Pittel, Amy Schmacher, Jesse Posey, Kailey Hyman, Jesse Kove,Jarlath Conroy, produced by Iconic Events Releasing.",https://en.wikipedia.org/wiki/Screamboat,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
A Minecraft Movie,2025,April,4,"Action, Adventure, Drama, History",8.3,268813,152,29955471,22970314,Jared Hess,"Chris Bowman,Hubbel Palmer, Neil Widener, Gavin James,Chris Galletta","Jason Momoa,Jack Black,Danielle Brooks,Emma Myers, Sebastian Eugene Hansen,Jennifer Coolidge",Warner Bros. Pictures/Legendary Entertainment/Mojang Studios/Vertigo Entertainment,PG-13,English,United States,"'A Minecraft Movie' (2025) is a feature film directed by Jared Hess, starring Jason Momoa,Jack Black,Danielle Brooks,Emma Myers, Sebastian Eugene Hansen,Jennifer Coolidge, produced by Warner Bros. Pictures/Legendary Entertainment/Mojang Studios/Vertigo Entertainment.",https://en.wikipedia.org/wiki/A_Minecraft_Movie,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Luckiest Man in America,2025,April,,"Sci-Fi, Adventure",7.2,443933,132,32888511,24925674,,Maggie Briggs,"Samir Oliveros, Paul Walter Hauser,Walton Goggins,Shamier Anderson,Brian Geraghty,Patti Harrison,Haley Bennett,Damian Young,Lilli Kay,James Wolk,Shaunette Renée Wilson,David Rysdahl,Ricky Russert,David Strathairn,Johnny Knoxville,Maisie Williams",IFC Films/Sapan Studio,PG-13,English,United States,"'The Luckiest Man in America' (2025) is a feature film directed by acclaimed filmmakers, starring Samir Oliveros, Paul Walter Hauser,Walton Goggins,Shamier Anderson,Brian Geraghty,Patti Harrison,Haley Bennett,Damian Young,Lilli Kay,James Wolk,Shaunette Renée Wilson,David Rysdahl,Ricky Russert,David Strathairn,Johnny Knoxville,Maisie Williams, produced by IFC Films/Sapan Studio.",https://en.wikipedia.org/wiki/The_Luckiest_Man_in_America,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Eric Larue,2025,April,,Drama,7.2,141851,114,27829017,21552678,Michael Shannon,Brett Neveu,"Judy Greer,Paul Sparks,Alison Pill,Annie Parisse, Kate Arrington,Tracy Letts, Nation Sage Henrikson,Alexander Skarsgård",Magnolia Pictures,PG-13,English,United States,"'Eric Larue' (2025) is a feature film directed by Michael Shannon, starring Judy Greer,Paul Sparks,Alison Pill,Annie Parisse, Kate Arrington,Tracy Letts, Nation Sage Henrikson,Alexander Skarsgård, produced by Magnolia Pictures.",https://en.wikipedia.org/wiki/Eric_Larue,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
A Nice Indian Boy,2025,April,,"Sci-Fi, Adventure",9.0,243938,102,29538846,22692564,Roshan Sethi,Eric Randall,"Karan Soni,Jonathan Groff,Sunita Mani,Zarna Garg,Harish Patel",Blue Harbor Entertainment,PG-13,English,United States,"'A Nice Indian Boy' (2025) is a feature film directed by Roshan Sethi, starring Karan Soni,Jonathan Groff,Sunita Mani,Zarna Garg,Harish Patel, produced by Blue Harbor Entertainment.",https://en.wikipedia.org/wiki/A_Nice_Indian_Boy,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Gazer,2025,April,,"Horror, Thriller",8.2,58470,145,39054150,11122020,,Ariella Mastroianni,"Ryan J. Sloan, Ariella Mastroianni, Marcia Debonis, Renee Gagner, Jack Alberts, Tommy Kang",Metrograph Pictures,R,English,United States,"'Gazer' (2025) is a feature film directed by acclaimed filmmakers, starring Ryan J. Sloan, Ariella Mastroianni, Marcia Debonis, Renee Gagner, Jack Alberts, Tommy Kang, produced by Metrograph Pictures.",https://en.wikipedia.org/wiki/Gazer_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
V13,2025,April,,"Sci-Fi, Adventure",6.0,444989,126,25369263,19912842,,Alain-Didier Weill,"Richard Ledes, Alan Cumming, Samuel H. Levine,Liam Aiken",Deskpop Entertainment / Footnote Four / Vienna 1913 Productions,PG-13,English,United States,"'V13' (2025) is a feature film directed by acclaimed filmmakers, starring Richard Ledes, Alan Cumming, Samuel H. Levine,Liam Aiken, produced by Deskpop Entertainment / Footnote Four / Vienna 1913 Productions.",https://en.wikipedia.org/wiki/V13_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
G20,2025,April,10,"Action, Sci-Fi, Superhero",7.6,441606,109,25312602,19875068,Patricia Riggen,"Caitlin Parrish, Erica Weiss, Logan Miller, Noah Miller","Viola Davis,Anthony Anderson,Marsai Martin,Ramón Rodríguez,Douglas Hodge,Elizabeth Marvel,Sabrina Impacciatore,Clark Gregg,Antony Starr",Amazon MGM Studios/JuVee Productions/Mad Chance Productions/MRC,PG-13,English,United States,"'G20' (2025) is a feature film directed by Patricia Riggen, starring Viola Davis,Anthony Anderson,Marsai Martin,Ramón Rodríguez,Douglas Hodge,Elizabeth Marvel,Sabrina Impacciatore,Clark Gregg,Antony Starr, produced by Amazon MGM Studios/JuVee Productions/Mad Chance Productions/MRC.",https://en.wikipedia.org/wiki/G20_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Amateur,2025,April,11,"Sci-Fi, Adventure",8.9,164935,155,28215645,21810430,James Hawes,"Ken Nolan, Gary Spinelli","Rami Malek,Rachel Brosnahan,Caitríona Balfe,Michael Stuhlbarg,Holt McCallany,Julianne Nicholson,Jon Bernthal,Laurence Fishburne",20th Century Studios,PG-13,English,United States,"'The Amateur' (2025) is a feature film directed by James Hawes, starring Rami Malek,Rachel Brosnahan,Caitríona Balfe,Michael Stuhlbarg,Holt McCallany,Julianne Nicholson,Jon Bernthal,Laurence Fishburne, produced by 20th Century Studios.",https://en.wikipedia.org/wiki/The_Amateur_(2025_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Drop,2025,April,,"Horror, Mystery, Thriller",8.1,38570,120,38498650,10998620,Christopher Landon,"Jillian Jacobs, Chris Roach","Meghann Fahy,Brandon Sklenar,Violett Beane,Jeffery Self",Universal Pictures/Blumhouse Productions/Platinum Dunes,R,English,United States,"'Drop' (2025) is a feature film directed by Christopher Landon, starring Meghann Fahy,Brandon Sklenar,Violett Beane,Jeffery Self, produced by Universal Pictures/Blumhouse Productions/Platinum Dunes.",https://en.wikipedia.org/wiki/Drop_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Sacramento,2025,April,,"Action, Adventure, Drama, History",8.6,164338,152,28205646,21803764,,Chris Smith,"Michael Angarano, Michael Angarano,Michael Cera,Kristen Stewart,Maya Erskine,AJ Mendez, Iman Karram,Rosalind Chao",Vertical,PG-13,English,United States,"'Sacramento' (2025) is a feature film directed by acclaimed filmmakers, starring Michael Angarano, Michael Angarano,Michael Cera,Kristen Stewart,Maya Erskine,AJ Mendez, Iman Karram,Rosalind Chao, produced by Vertical.",https://en.wikipedia.org/wiki/Sacramento_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Home Sweet Home Rebirth,2025,April,,"Action, Thriller",8.2,380253,112,31821951,24214634,"Alexander Kiesl, Steffen Hacker",,"Michele Morrone,William Moseley,Urassaya Sperbund,Alexander Lee",Vertical/Yggdrazil Group,PG-13,English,United States,"'Home Sweet Home Rebirth' (2025) is a feature film directed by Alexander Kiesl, Steffen Hacker, starring Michele Morrone,William Moseley,Urassaya Sperbund,Alexander Lee, produced by Vertical/Yggdrazil Group.",https://en.wikipedia.org/wiki/Home_Sweet_Home_Rebirth,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Sneaks,2025,April,,"Animation, Family, Adventure",9.1,79962,103,26792454,20861636,Chris Jenkins,,"Rob Edwards, Anthony Mackie,Martin Lawrence,Swae Lee,Chloe Bailey,Macy Gray,Ella Mai,Mustard,Roddy Ricch,Quavo,Young Miko, Amirah Hall,Kiana Ledé,Bobbito Garcia,Sam Jay,Sky Brown,Rayssa Leal,Rico Rodriguez,Keith David,Chris Paul,Laurence Fishburne",Briarcliff Entertainment/Cinema Gypsy Productions/Assemblage Entertainment/GFM Animation,PG-13,English,United States,"'Sneaks' (2025) is a feature film directed by Chris Jenkins, starring Rob Edwards, Anthony Mackie,Martin Lawrence,Swae Lee,Chloe Bailey,Macy Gray,Ella Mai,Mustard,Roddy Ricch,Quavo,Young Miko, Amirah Hall,Kiana Ledé,Bobbito Garcia,Sam Jay,Sky Brown,Rayssa Leal,Rico Rodriguez,Keith David,Chris Paul,Laurence Fishburne, produced by Briarcliff Entertainment/Cinema Gypsy Productions/Assemblage Entertainment/GFM Animation.",https://en.wikipedia.org/wiki/Sneaks_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Wedding Banquet,2025,April,,"Romance, Comedy",6.9,311996,144,30678732,23452488,,James Schamus,"Andrew Ahn, Bowen Yang,Lily Gladstone,Kelly Marie Tran,Han Gi-chan,Joan Chen,Youn Yuh-jung",Bleecker Street/ShivHans Pictures,PG-13,English,United States,"'The Wedding Banquet' (2025) is a feature film directed by acclaimed filmmakers, starring Andrew Ahn, Bowen Yang,Lily Gladstone,Kelly Marie Tran,Han Gi-chan,Joan Chen,Youn Yuh-jung, produced by Bleecker Street/ShivHans Pictures.",https://en.wikipedia.org/wiki/The_Wedding_Banquet_(2025_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Accountant 2,2025,April,25,"Sci-Fi, Adventure",6.3,245132,108,29558844,22705896,Gavin O'Connor,Bill Dubuque,"Ben Affleck,Jon Bernthal,Cynthia Addai-Robinson,Daniella Pineda, Allison Robertson,J. K. Simmons",Metro-Goldwyn-Mayer/Artists Equity,PG-13,English,United States,"'The Accountant 2' (2025) is a feature film directed by Gavin O'Connor, starring Ben Affleck,Jon Bernthal,Cynthia Addai-Robinson,Daniella Pineda, Allison Robertson,J. K. Simmons, produced by Metro-Goldwyn-Mayer/Artists Equity.",https://en.wikipedia.org/wiki/The_Accountant_2,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Until Dawn,2025,April,,"Sci-Fi, Adventure",6.5,147025,140,27915675,21610450,David F. Sandberg,"Blair Butler,Gary Dauberman","Ella Rubin,Michael Cimino,Odessa A'zion,Ji-young Yoo,Belmont Cameli,Maia Mitchell,Peter Stormare",Screen Gems/PlayStation Productions/Vertigo Entertainment,PG-13,English,United States,"'Until Dawn' (2025) is a feature film directed by David F. Sandberg, starring Ella Rubin,Michael Cimino,Odessa A'zion,Ji-young Yoo,Belmont Cameli,Maia Mitchell,Peter Stormare, produced by Screen Gems/PlayStation Productions/Vertigo Entertainment.",https://en.wikipedia.org/wiki/Until_Dawn_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
On Swift Horses,2025,April,,"Sci-Fi, Adventure",9.2,237769,146,29435523,22623682,Daniel Minahan,Bryce Kass,"Daisy Edgar-Jones,Jacob Elordi,Will Poulter,Diego Calva,Sasha Calle",Sony Pictures Classics/Ley Line Entertainment,PG-13,English,United States,"'On Swift Horses' (2025) is a feature film directed by Daniel Minahan, starring Daisy Edgar-Jones,Jacob Elordi,Will Poulter,Diego Calva,Sasha Calle, produced by Sony Pictures Classics/Ley Line Entertainment.",https://en.wikipedia.org/wiki/On_Swift_Horses,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Winter Spring Summer or Fall,2025,April,,"Romance, Drama",6.1,31146,94,33511782,25341188,Tiffany Paulsen,Dan Schoffer,"Jenna Ortega,Percy Hynes White,Marisol Nichols,Adam Rodriguez",Republic Pictures/Motion Picture Corporation of America,PG-13,English,United States,"'Winter Spring Summer or Fall' (2025) is a feature film directed by Tiffany Paulsen, starring Jenna Ortega,Percy Hynes White,Marisol Nichols,Adam Rodriguez, produced by Republic Pictures/Motion Picture Corporation of America.",https://en.wikipedia.org/wiki/Winter_Spring_Summer_or_Fall,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Neighborhood Watch,2025,April,,"Sci-Fi, Adventure",6.5,311200,140,30665400,23443600,Duncan Skiles,Sean Farley,"Jeffrey Dean Morgan,Jack Quaid,Malin Akerman",RLJE Films,PG-13,English,United States,"'Neighborhood Watch' (2025) is a feature film directed by Duncan Skiles, starring Jeffrey Dean Morgan,Jack Quaid,Malin Akerman, produced by RLJE Films.",https://en.wikipedia.org/wiki/Neighborhood_Watch_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Another Simple Favor,2025,May,1,"Sci-Fi, Adventure",7.1,338662,128,31125354,23750236,Paul Feig,"Eric Pearson,Jessica Sharzer,Laeta Kalogridis","Anna Kendrick,Blake Lively,Andrew Rannells,Bashir Salahuddin,Elizabeth Perkins,Michele Morrone,Elena Sofia Ricci,Alex Newell,Henry Golding,Allison Janney",Amazon MGM Studios/Lionsgate/Feigco Entertainment,PG-13,English,United States,"'Another Simple Favor' (2025) is a feature film directed by Paul Feig, starring Anna Kendrick,Blake Lively,Andrew Rannells,Bashir Salahuddin,Elizabeth Perkins,Michele Morrone,Elena Sofia Ricci,Alex Newell,Henry Golding,Allison Janney, produced by Amazon MGM Studios/Lionsgate/Feigco Entertainment.",https://en.wikipedia.org/wiki/Another_Simple_Favor,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Thunderbolts*,2025,May,2,"Action, Sci-Fi, Superhero",7.2,220655,135,29148885,22432590,Jake Schreier,"Eric Pearson,Joanna Calo","Florence Pugh,Sebastian Stan,Wyatt Russell,Olga Kurylenko,Lewis Pullman,Geraldine Viswanathan,Chris Bauer,Wendell Pierce,David Harbour,Hannah John-Kamen,Julia Louis-Dreyfus",Marvel Studios,PG-13,English,United States,"'Thunderbolts*' (2025) is a feature film directed by Jake Schreier, starring Florence Pugh,Sebastian Stan,Wyatt Russell,Olga Kurylenko,Lewis Pullman,Geraldine Viswanathan,Chris Bauer,Wendell Pierce,David Harbour,Hannah John-Kamen,Julia Louis-Dreyfus, produced by Marvel Studios.",https://en.wikipedia.org/wiki/Thunderbolts*,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Words of War,2025,May,,"Action, Adventure, Drama, Sci-Fi",8.5,177273,142,28422291,21948194,James Strong,Eric Poppen,"Maxine Peake,Jason Isaacs,Ciarán Hinds,Ellie Bamber,Harry Lawtey,Naomi Battrick",Decal,PG-13,English,United States,"'Words of War' (2025) is a feature film directed by James Strong, starring Maxine Peake,Jason Isaacs,Ciarán Hinds,Ellie Bamber,Harry Lawtey,Naomi Battrick, produced by Decal.",https://en.wikipedia.org/wiki/Words_of_War,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
I'm Beginning to See the Light,2025,May,,"Comedy, Drama",6.3,31544,96,33518448,25345632,,Mark Bacci,"Konstantin Khudyakov, Jack Huston,Abby Cornish,Brandon T. Jackson,Jamie Chung",Gravitas Ventures,PG-13,English,United States,"'I'm Beginning to See the Light' (2025) is a feature film directed by acclaimed filmmakers, starring Konstantin Khudyakov, Jack Huston,Abby Cornish,Brandon T. Jackson,Jamie Chung, produced by Gravitas Ventures.",https://en.wikipedia.org/wiki/I'm_Beginning_to_See_the_Light_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Rosario,2025,May,,"Horror, Thriller",8.1,104240,150,40331800,11405840,Felipe Vargas,Alan Trezza,"David Dastmalchian,José Zúñiga, Diana Lein,Paul Ben-Victor,Emeraude Toubia",Variance Films,R,English,United States,"'Rosario' (2025) is a feature film directed by Felipe Vargas, starring David Dastmalchian,José Zúñiga, Diana Lein,Paul Ben-Victor,Emeraude Toubia, produced by Variance Films.",https://en.wikipedia.org/wiki/Rosario_(2025_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Electra,2025,May,,"Sci-Fi, Adventure",8.3,98071,119,27095757,21063838,,Daryl Wein,"Hala Matar, Maria Bakalova,Abigail Cowen,Jack Farthing, Daryl Wein",Level 33 Entertainment,PG-13,English,United States,"'Electra' (2025) is a feature film directed by acclaimed filmmakers, starring Hala Matar, Maria Bakalova,Abigail Cowen,Jack Farthing, Daryl Wein, produced by Level 33 Entertainment.",https://en.wikipedia.org/wiki/Electra_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Death of Snow White,2025,May,,"Animation, Family, Adventure",7.8,366323,117,31588641,24059094,,Naomi Mechem-Miller,"Jason Brooks, Sanae Loutsis, Chelsea Edmundson, Tristan Nokes, Meredith Binder, Risa Mei, Jeremy Hallum, Ali Chapman, Colin Miller<, Dillon Moore, Michael DeSanto II, Eric Pope",Atlas Distribution / The Horror Collective,PG-13,English,United States,"'The Death of Snow White' (2025) is a feature film directed by acclaimed filmmakers, starring Jason Brooks, Sanae Loutsis, Chelsea Edmundson, Tristan Nokes, Meredith Binder, Risa Mei, Jeremy Hallum, Ali Chapman, Colin Miller<, Dillon Moore, Michael DeSanto II, Eric Pope, produced by Atlas Distribution / The Horror Collective.",https://en.wikipedia.org/wiki/The_Death_of_Snow_White,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Shadow Force,2025,May,9,"Action, Adventure, Drama, Sci-Fi",9.1,185034,106,28552278,22034852,,Leon Chills,"Joe Carnahan, Kerry Washington,Omar Sy,Mark Strong,Da'Vine Joy Randolph,Cliff ""Method Man"" Smith",Lionsgate/Simpson Street/Indian Meadows Productions,PG-13,English,United States,"'Shadow Force' (2025) is a feature film directed by acclaimed filmmakers, starring Joe Carnahan, Kerry Washington,Omar Sy,Mark Strong,Da'Vine Joy Randolph,Cliff ""Method Man"" Smith, produced by Lionsgate/Simpson Street/Indian Meadows Productions.",https://en.wikipedia.org/wiki/Shadow_Force_(2025_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Fight or Flight,2025,May,,"Action, Adventure, Drama, Sci-Fi",7.9,235182,133,29392194,22594796,James Madigan,"Brooks McLaren,D. J. Cotrona","Josh Hartnett,Charithra Chandran,Julian Kostov,Katee Sackhoff,Marko Zaror",Vertical/Asbury Park Productions,PG-13,English,United States,"'Fight or Flight' (2025) is a feature film directed by James Madigan, starring Josh Hartnett,Charithra Chandran,Julian Kostov,Katee Sackhoff,Marko Zaror, produced by Vertical/Asbury Park Productions.",https://en.wikipedia.org/wiki/Fight_or_Flight_(2025_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Nonnas,2025,May,,"Sci-Fi, Adventure",6.6,81554,111,26819118,20879412,Stephen Chbosky,Liz Maccie,"Vince Vaughn,Lorraine Bracco,Talia Shire,Brenda Vaccaro,Joe Manganiello,Linda Cardellini,Susan Sarandon",Netflix/Fifth Season/Madison Wells/Matador Content,PG-13,English,United States,"'Nonnas' (2025) is a feature film directed by Stephen Chbosky, starring Vince Vaughn,Lorraine Bracco,Talia Shire,Brenda Vaccaro,Joe Manganiello,Linda Cardellini,Susan Sarandon, produced by Netflix/Fifth Season/Madison Wells/Matador Content.",https://en.wikipedia.org/wiki/Nonnas,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Clown in a Cornfield,2025,May,,"Sci-Fi, Adventure",6.5,324334,131,30885378,23590252,,Carter Blanchard,"Eli Craig, Katie Douglas,Carson MacCormac,Aaron Abrams,Will Sasso,Kevin Durand",Screamtime Films /Magnet Releasing,PG-13,English,United States,"'Clown in a Cornfield' (2025) is a feature film directed by acclaimed filmmakers, starring Eli Craig, Katie Douglas,Carson MacCormac,Aaron Abrams,Will Sasso,Kevin Durand, produced by Screamtime Films /Magnet Releasing.",https://en.wikipedia.org/wiki/Clown_in_a_Cornfield_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Unit 234,2025,May,,"Sci-Fi, Adventure",7.9,77574,91,26752458,20834972,Andy Tennant,Derek Steiner,"Don Johnson,Isabelle Fuhrman,Jack Huston",Brainstorm Media,PG-13,English,United States,"'Unit 234' (2025) is a feature film directed by Andy Tennant, starring Don Johnson,Isabelle Fuhrman,Jack Huston, produced by Brainstorm Media.",https://en.wikipedia.org/wiki/Unit_234,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Summer of 69,2025,May,,"Comedy, Drama",7.0,161154,136,28152318,21768212,,"Liz Nico, Jules Byrne","Jillian Bell, Chloe Fineman, Sam Morelos,Matt Cornett",Hulu/American High,PG-13,English,United States,"'Summer of 69' (2025) is a feature film directed by acclaimed filmmakers, starring Jillian Bell, Chloe Fineman, Sam Morelos,Matt Cornett, produced by Hulu/American High.",https://en.wikipedia.org/wiki/Summer_of_69_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Lilly,2025,May,,"Sci-Fi, Adventure",6.2,61057,158,26475819,20650546,,Adam Prince,"Rachel Feldman, Patricia Clarkson,John Benjamin Hickey,Thomas Sadoski",Blue Harbor Entertainment /Artemis Rising Foundation,PG-13,English,United States,"'Lilly' (2025) is a feature film directed by acclaimed filmmakers, starring Rachel Feldman, Patricia Clarkson,John Benjamin Hickey,Thomas Sadoski, produced by Blue Harbor Entertainment /Artemis Rising Foundation.",https://en.wikipedia.org/wiki/Lilly_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Final Destination Bloodlines,2025,May,16,"Action, Adventure, Drama, History",7.6,53832,133,33891744,25594496,"Zach Lipovsky,Adam Stein","Guy Busick, Lori Evans Taylor","Kaitlyn Santa Juana,Teo Briones,Richard Harmon,Owen Patrick Joyner,Rya Kihlstedt,Anna Lore,Brec Bassinger,Tony Todd",Warner Bros. Pictures/New Line Cinema,PG-13,English,United States,"'Final Destination Bloodlines' (2025) is a feature film directed by Zach Lipovsky,Adam Stein, starring Kaitlyn Santa Juana,Teo Briones,Richard Harmon,Owen Patrick Joyner,Rya Kihlstedt,Anna Lore,Brec Bassinger,Tony Todd, produced by Warner Bros. Pictures/New Line Cinema.",https://en.wikipedia.org/wiki/Final_Destination_Bloodlines,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Hurry Up Tomorrow,2025,May,,"Action, Adventure, Drama, History",6.1,290703,112,30322101,23214734,,"Abel Tesfaye, Reza Fahim","Trey Edward Shults, Abel Tesfaye,Jenna Ortega,Barry Keoghan",Lionsgate/Live Nation Productions,PG-13,English,United States,"'Hurry Up Tomorrow' (2025) is a feature film directed by acclaimed filmmakers, starring Trey Edward Shults, Abel Tesfaye,Jenna Ortega,Barry Keoghan, produced by Lionsgate/Live Nation Productions.",https://en.wikipedia.org/wiki/Hurry_Up_Tomorrow_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Lilo & Stitch,2025,May,23,"Sci-Fi, Adventure",7.5,181850,90,28498950,21999300,Dean Fleischer Camp,"Chris Kekaniokalani Bright, Mike Van Waes","Sydney Elizebeth Agudong,Billy Magnussen,Hannah Waddingham,Chris Sanders,Courtney B. Vance,Zach Galifianakis,Maia Kealoha",Walt Disney Pictures/Rideback,PG-13,English,United States,"'Lilo & Stitch' (2025) is a feature film directed by Dean Fleischer Camp, starring Sydney Elizebeth Agudong,Billy Magnussen,Hannah Waddingham,Chris Sanders,Courtney B. Vance,Zach Galifianakis,Maia Kealoha, produced by Walt Disney Pictures/Rideback.",https://en.wikipedia.org/wiki/Lilo_&_Stitch_(2025_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Mission: Impossible – The Final Reckoning,2025,May,,"Action, Adventure, Drama, History",8.0,80254,161,64482018,45988012,,Erik Jendresen,"Christopher McQuarrie, Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Esai Morales,Pom Klementieff,Henry Czerny,Holt McCallany,Janet McTeer,Nick Offerman,Hannah Waddingham,Tramell Tillman,Angela Bassett",Paramount Pictures/Skydance Media/TC Productions,PG-13,English,United States,"'Mission: Impossible – The Final Reckoning' (2025) is a feature film directed by acclaimed filmmakers, starring Christopher McQuarrie, Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Esai Morales,Pom Klementieff,Henry Czerny,Holt McCallany,Janet McTeer,Nick Offerman,Hannah Waddingham,Tramell Tillman,Angela Bassett, produced by Paramount Pictures/Skydance Media/TC Productions.",https://en.wikipedia.org/wiki/Mission:_Impossible_–_The_Final_Reckoning,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Fountain of Youth,2025,May,,"Sci-Fi, Adventure",7.2,286325,90,30248775,23165850,Guy Ritchie,James Vanderbilt,"John Krasinski,Natalie Portman,Eiza González,Domhnall Gleeson,Arian Moayed,Laz Alonso,Carmen Ejogo,Stanley Tucci",Apple TV+/Apple Studios/Skydance Media/Radio Silence Productions,PG-13,English,United States,"'Fountain of Youth' (2025) is a feature film directed by Guy Ritchie, starring John Krasinski,Natalie Portman,Eiza González,Domhnall Gleeson,Arian Moayed,Laz Alonso,Carmen Ejogo,Stanley Tucci, produced by Apple TV+/Apple Studios/Skydance Media/Radio Silence Productions.",https://en.wikipedia.org/wiki/Fountain_of_Youth_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
